u_player_number,Name,u_position,u_height,u_weight,u_year
2,Shedeur Sanders,QB,6' 2'',215,Sr.
4,Travis Jay,S,6' 2'',205,Sr.
4,Omarion Miller,WR,6' 2'',195,So.
5,Jimmy Horn Jr.,WR,5' 10'',170,Sr.
6,Herman Smith III,S,6' 2'',190,Sr.
7,Cam'Ron Silmon-Craig,S,5' 10'',185,Sr.
8,DJ McKinney,CB,6' 2'',190,So.
8,Destin Wade,QB,6' 3'',225,So.
9,Walter Taylor III,QB,6' 5'',235,So.
10,LaJohntay Wester,WR,5' 11'',167,Sr.
12,Travis Hunter,ATH,6' 1'',185,Jr.
13,Kaleb Mathis,WR,5' 9'',165,So.
13,Savâ€™ell Smalls,TE,6' 3'',260,Sr.
14,Colton Allen,QB,6' 3'',205,So.
15,Mark Vassett,P,6' 4'',225,Sr.
16,Alejandro Mata,PK,5' 9'',190,Jr.
16,Ryan Staub,QB,6' 1'',200,R-Fr.
17,Jace Feely,PK,6' 0'',215,Jr.
20,LaVonta Bentley,ILB,6' 0'',230,Gr.
21,Shilo Sanders,S,6' 0'',195,Gr.
23,Isaiah Hardge,DB,5' 10'',160,R-Fr.
23,Carter Stoutmire,S,5' 11'',205,So.
24,Preston Hodge,CB,6' 0'',195,Sr.
25,Jaylen Wester,ILB,6' 0'',205,Jr.
26,Adonis Forrest,S,6' 4'',215,Sr.
27,Keaten Wade,OLB,6' 4'',245,Jr.
28,Ben Finneseth,S,6' 2'',205,Jr.
28,Asaad Waseem,WR,5' 11'',175,R-Fr.
29,Micah Welch,RB,5' 9'',205,Fr.
30,Braden Keith,CB,5' 10'',175,So.
32,Tagert Bardin,WR,6' 0'',160,So.
34,Nahmier Robinson,CB,5' 9'',170,R-Fr.
35,Brandon Miller,S,6' 0'',195,R-Fr.
35,Antonio Posadas,TE,6' 5'',225,R-Fr.
36,Nathaniel Watson,CB,5' 10'',170,So.
37,Morgan Pearson,TE,6' 1'',225,R-Fr.
38,Brendan Gant,ILB,6' 2'',200,Gr.
38,Daniel Gerlach,P/PK,5' 8'',150,So.
39,Austin Dahlke,S,6' 1'',195,Jr.
40,Taje McCoy,OLB,6' 3'',230,So.
42,Jeremiah Brown,OLB,6' 2'',225,Sr.